naam,               hoek, long,     lat
E429,                 25, 4.250018, 50.72143
Welkomstlaan,        -40, 4.255701, 50.72889
Alsembergsesteenweg, -40, 4.259795, 50.75158
Bergensesteenweg,     60, 4.224000, 50.72000
Brusselsesteenweg,    65, 4.240640, 50.74260
Edingensesteenweg,    25, 4.216071, 50.72640
Nijvelsesteenweg,    -55, 4.254718, 50.71797
Ninoofsesteenweg,    -15, 4.215617, 50.74291
Halle,                 0, 4.235, 50.735
Lembeek,               0, 4.222, 50.712
Buizingen,             0, 4.259, 50.745
Sint-Rochus,           0, 4.245, 50.73
Essenbeek,             0, 4.259, 50.72
